quantummechanic53,0.0,0.0,7.0,1
marcomar,0.0,0.0,-6.0,1
Tulachessroom,0.0,0.0,-5.0,1
johnford56,0.0,0.0,10.0,1
Mursaat_Overseer,0.0,0.0,-6.0,1
h4z4rdus,0.0,0.0,9.0,1
Dukie-iv,0.0,0.0,-3.0,1
Xbraveheart,0.0,0.0,-6.0,1
coopaloop33,0.0,0.0,20.0,1
hesamgf,0.0,0.0,1.0,1
Leoni_dast,0.0,0.0,6.0,1
mit1156,0.0,0.0,-4.0,1
abouabdelmoghit,0.0,0.0,-5.0,1
Nami-1128,0.0,0.0,-8.0,1
Winterisc,0.0,0.0,-6.0,1
josepeon,0.0,0.0,-5.5,2
superpapa-83,0.0,0.0,4.0,1
Karishok24,0.0,0.0,-2.3333333333333335,3
kasparik_garik,0.0,0.0,-7.0,1
needglasses,0.0,0.0,-7.0,1
temetzon,0.0,0.0,6.0,1
Nitra6,0.0,0.0,-52.0,1
claugod09,0.0,0.0,-32.5,2
Centauri11,0.0,0.0,2.0,1
King77G,0.0,0.0,14.0,1
mahdisamadi81,0.0,0.0,12.0,1
JakaRacman,0.0,0.0,7.0,1
collinspaul,0.0,0.0,-4.0,1
vickyvigneshwar,0.0,0.0,-2.0,1
surkovandrey64,0.0,0.0,-5.0,1
jabersan,0.0,0.0,96.0,1
mpwi51,0.0,0.0,-6.0,1
amirmahdi13922,0.0,0.0,-5.0,1
Ehab_Mohammed,0.0,0.0,-1.0,1
romelife,0.0,0.0,-6.0,1
Leondante,0.0,0.0,-5.0,1
mvp72,0.0,0.0,6.0,1
DeadFracture,0.0,0.0,-6.0,1
phucdz1609,0.0,0.0,40.0,1
OsidMore,0.0,0.0,6.0,1
Prasanth_yb,0.0,0.0,-6.0,1
Chesareo,0.0,0.0,-6.0,1
Ririno,0.0,0.0,-5.0,1
Finik001,0.0,0.0,13.0,1
B70589783FRED,0.0,0.0,7.0,1
sarahl2014,0.0,0.0,-17.0,1
Viowaterbottle,0.0,0.0,-7.0,1
tryanada,0.0,0.0,-14.0,1
Fraggan,0.0,0.0,0.0,2
Roma_metall,0.0,0.0,-35.0,1
ImaximusI,0.0,0.0,-6.0,1
