vitim1602,1,0
Galina_39,1,0
BenHague,0,1
yahia_5,0,1
RV67,1,0
Corbus1967,0,1
BaneIsBack,1,0
kwk1,0,1
vfmapfumo,0,1
M0riarty449,1,0
Norbi545,1,0
KING-BKD,0,1
kushpatel01,0,1
alexwerner9,1,0
nanoscopio044,1,0
HydroK,0,1
sekerminnos1234589,0,1
moteeb,1,0
Bobbysco,0,1
Otherone24,1,0
LentoiuAndrei,1,1
Pekanbaru_Chess,1,0
razmazzy,0,1
Kingofthesouth59,0,1
johntheshark,0,1
AnimatedBishop,1,0
Nelson0007,1,0
david_papa_zadig,1,0
thedrunkenlawyer,0,1
Carla10xadrezzz,0,1
jgambill,1,1
DmitryFurman,1,0
tripolisss,1,0
jonasbringsvornilsen,0,1
AndreasM85,1,0
Dmitriy2018,1,0
Gouku2024,1,1
ghettochess,0,1
espinozaa,1,0
DRigual,1,0
MauroMF,0,2
Faez200015,1,0
Branco10,1,0
adam2110,0,1
weres1,1,0
RITURAJs,1,0
Adham_Ibrahim_Cube,1,0
Dorizio,0,1
Ilya-Bocharov_1989,0,1
ROC63,0,1
ildottore1981,1,0
berkaykirann,1,0
Kaushik71,1,0
Venugopal007,1,0
korre1234,0,2
AgsiKapin12,1,0
RThorn,0,1
RedTintyDot,1,0
FreddyKrueger86,0,1
yazan_hassan383,1,0
Lamkhantar_98,1,0
Komnen11,1,0
ahm6t46,1,0
kman21,1,0
Tonny_RESPECT,1,0
mahu,0,1
vic2134,0,1
kessyaya,0,1
nocenti,0,1
Rutvij09,0,1
Diegone72,1,0
cavallofobia,0,1
educhess1,0,1
pristay95,0,1
capablancadevaldivia,1,0
ahmed_hmed,0,1
Lessing01,1,0
TkachenkoAndrey,0,1
weyer1964,0,1
jedijedijedi,0,1
vova6230,0,1
Alifarshadian79,1,0
hassanmohasses,0,1
rykmo,1,0
rteyrtfuy,0,1
Heisenberg47,1,0
Dariuz83,1,0
thata1970,1,1
Mirr5mi,0,1
mcgi2018,0,1
ibrahimK35,0,1
szilas,1,0
Aleks777diablo,1,0
nixsone,1,0
saelow,0,1
Chamboff,0,1
dufor,0,1
angelo20_22,0,1
joselavi,0,1
toto1219,0,1
KnightsKiller,0,1
suckatchess53,0,1
flow2204,1,0
korzhara,1,0
Nasok1103,1,0
Natalia321,0,2
AMISTADA,1,0
halibm,1,0
Bemmsi,1,0
POR_MORFI,1,0
Mischutka48,0,1
gmmps2020,0,1
ilia_Ekb,0,1
HeiLeh,1,0
shia_muslim1,1,0
ciprianomera,1,0
Maratemirlan,1,0
alesandro_pm,1,0
ActuallySleepy,1,0
iliatavalie,1,0
SH_Amirpanah,1,0
SR2001,0,1
ilkinmusayev42,0,1
al-AminTheDog,0,1
mjii,0,1
fuzzy01,1,0
Saurabh406,1,0
Somi68,0,1
Ringovyb,1,0
Mohit24,1,0
luluc04,0,1
Mugutvikhdu12777,0,1
Abuelopeligroso,0,1
Telogreikin,0,1
Sarafoma,1,0
YroslavAl,1,0
albelli,0,1
MiArdilla,0,1
